CDB_ID,Nome,Endereço
1,ARCOS BAR,"RUA DA BAHIA, 1144, CENTRO, BELO HORIZONTE, MG, BRASIL"
2,AZOUGUE FOGO E BAR,"RUA DO OURO, 835, SERRA, BELO HORIZONTE, MG, BRASIL"
3,BAIÚCA,"RUA PIAUI, 1884, SAVASSI, BELO HORIZONTE, MG, BRASIL"
4,BAR ESTABELECIMENTO,"RUA MONTE ALEGRE, 160, SERRA, BELO HORIZONTE, MG, BRASIL"
5,BAR MANIA MINEIRA,"RUA PARACATU, 1099, SANTO AGOSTINHO, BELO HORIZONTE, MG, BRASIL"
6,BECO RESTAURANTE,"RUA DOS TAMOIOS, 232, CENTRO, BELO HORIZONTE, MG, BRASIL"
7,BOTEQUIM DE LOURDES,"RUA CURITIBA, 2039, LOURDES, BELO HORIZONTE, MG, BRASIL"
8,CAFÉ BAHIA,"RUA DOS TUPIS, 369, CENTRO, BELO HORIZONTE, MG, BRASIL"
9,CAFÉ PALHARES,"RUA DOS TUPINAMBAS, 638, CENTRO, BELO HORIZONTE, MG, BRASIL"
10,CASA DA MADRINHA,"AVENIDA BARBACENA, 212, BARRO PRETO, BELO HORIZONTE, MG, BRASIL"
11,DONA DORA,"RUA RIO DE JANEIRO, 1205, CENTRO, BELO HORIZONTE, MG, BRASIL"
12,EMBER BBQ,"RUA SAO ROMAO, 460, SANTO ANTONIO, BELO HORIZONTE, MG, BRASIL"
13,MARINA'S BAR,"RUA JOSE BARONI, 13, PARAISO, BELO HORIZONTE, MG, BRASIL"
14,ORATÓRIO BAR,"AVENIDA BRASIL, 161, SANTA EFIGENIA, BELO HORIZONTE, MG, BRASIL"
15,PÉ DE CANA,"RUA FLORIDA, 21, SION, BELO HORIZONTE, MG, BRASIL"
16,POIZÉ BAR E PETISQUEIRA,"RUA PIUM I, 686, CARMO, BELO HORIZONTE, MG, BRASIL"
17,QUINTEIRO BAR E RESTAURANTE,"RUA SALINAS, 1008, FLORESTA, BELO HORIZONTE, MG, BRASIL"
18,RESTAURANTE JORGE AMERICANO,"AVENIDA AUGUSTO DE LIMA, 744, CENTRO, BELO HORIZONTE, MG, BRASIL"
19,XAMBAR,"AVENIDA AUGUSTO DE LIMA, 233, CENTRO, BELO HORIZONTE, MG, BRASIL"
20,AMARELIM DO PRADO,"AVENIDA FRANCISCO SA, 658, PRADO, BELO HORIZONTE, MG, BRASIL"
21,BAR E RESTAURANTE BOM SABOR,"RUA JAVA, 386, NOVA SUISSA, BELO HORIZONTE, MG, BRASIL"
