ID_ATIV_ECON_ESTABELECIMENTO,ID_CDB,CNAE_PRINCIPAL,DATA_INICIO_ATIVIDADE,IND_POSSUI_ALVARA,ENDERECO_COMPLETO,NOME,NOME_FANTASIA,GEOMETRIA,COORDS,COORD_GEO
1023,000,5611201.0,1993-07-01,NÃO,"RUA DESEMBARGADOR REIS ALVES, 90, BAIRRO DAS INDUSTRIAS I, BELO HORIZONTE, MG, BRASIL",APARECIDA MARIA DE SOUZA,ESTABELECIMENTO SEM NOME,POINT (604468.46 7792708.63),"(-19.9589334, -44.0017603)","(-19.9593289, -44.0016027)"
1025,000,5611201.0,1993-10-15,NÃO,"RUA LUIZ PONGELUPE, 290, CARDOSO, BELO HORIZONTE, MG, BRASIL",LUCAS SILVA DE ARAUJO LTDA,PIZZARIA E CHURRASCARIA VARANDA,POINT (603585.25 7787403.83),"(-20.00629, -44.0100157)","(-20.0073068, -44.009743)"
1056,000,5611201.0,1994-05-02,NÃO,"AVENIDA RESSACA, 118, PADRE EUSTAQUIO, BELO HORIZONTE, MG, BRASIL",PAULO EMILIO COELHO,RABBIT BURGER,POINT (606050.57 7796975.21),"(-19.9177866, -43.9876481)","(-19.9206932, -43.9867302)"
1071,000,5611201.0,1993-11-24,SIM,"RUA DESEMBARGADOR RIBEIRO DA LUZ, 135, BARREIRO, BELO HORIZONTE, MG, BRASIL",GARAPAO BAR E RESTAURANTE LTDA,TATU REI DO ANGU A  BAHIANA,POINT (603011.98 7791138.07),"(-19.9732823, -44.0141195)","(-19.9735972, -44.0154325)"
705,000,5611201.0,1993-10-01,SIM,"AVENIDA CRISTIANO MACHADO, 1950, CIDADE NOVA, BELO HORIZONTE, MG, BRASIL",FRIOS ALMEIDA LTDA,ESPACO DA FEIJOADA,POINT (612160.77 7800283.54),"(-19.8903695, -43.9282191)","(-19.8904595, -43.9285584)"
60382,000,5611201.0,2020-12-15,NÃO,"RUA LUZIA SALOMAO, 50, MANTIQUEIRA, BELO HORIZONTE, MG, BRASIL",AECIO CARLOS MIGUEL LEMOS 99648725691,ESTABELECIMENTO SEM NOME,POINT (606905.28 7809966.88),"(-19.8027128, -43.9798377)","(-19.8032617, -43.9793161)"
60651,000,5611201.0,2011-09-16,SIM,"RUA BRAULIO GOMES NOGUEIRA, 1200, ITAIPU, BELO HORIZONTE, MG, BRASIL",CHURRASCARIA BAHIAS BAR LTDA,ESTABELECIMENTO SEM NOME,POINT (599698.20 7789293.05),"(-19.9945782, -44.0464278)","(-19.9904407, -44.0470014)"
60660,000,5611201.0,2011-09-16,SIM,"RUA DOS OTONI, 222, SANTA EFIGENIA, BELO HORIZONTE, MG, BRASIL",D'MARCUS & CESAR RESTAURANTE LTDA,RESTAURANTE NOVO SABOR,POINT (612760.02 7796250.25),"(-19.9264845, -43.9245162)","(-19.9268665, -43.922588)"
60985,000,5611204.0,2011-09-28,SIM,"RUA DOS TUPINAMBAS, 1100, CENTRO, BELO HORIZONTE, MG, BRASIL",BAR DO MELO LTDA,ESTABELECIMENTO SEM NOME,POINT (610466.17 7797438.33),"(-19.9164141, -43.9443398)","(-19.9162634, -43.944574)"
60996,000,5611201.0,2011-09-27,SIM,"AVENIDA SOLFERINA RICCI PACE, 1301, CONJUNTO JATOBA, BELO HORIZONTE, MG, BRASIL","DU DAY RESTAURANTE, LANCHONETE E DISTRIBUIDORA DE BEBIDAS LTDA",ESTABELECIMENTO SEM NOME,POINT (600010.72 7787842.93),"(nan, nan)","(-20.0035271, -44.0439353)"
60082,000,5611204.0,2011-08-26,NÃO,"RUA FURQUIM WERNECK, 619, TUPI A, BELO HORIZONTE, MG, BRASIL",RESTAURANTE E PIZZARIA VALORES DE MINAS LTDA,RESTAURANTE E PIZZARIA VALORES DE MINAS,POINT (613032.50 7805895.14),"(nan, nan)","(-19.8397072, -43.9205753)"
61013,000,5611201.0,2011-09-30,NÃO,"RUA SALINAS, 1547, SANTA TEREZA, BELO HORIZONTE, MG, BRASIL",SHIRLEY FRAGUAS MESQUITA 85413178620,ESTABELECIMENTO SEM NOME,POINT (612987.77 7797558.50),"(-19.9148029, -43.9230373)","(-19.915033, -43.9204924)"
60718,000,5611204.0,2011-09-21,SIM,"RUA OLINTO MAGALHAES, 710, PADRE EUSTAQUIO, BELO HORIZONTE, MG, BRASIL",JOEL MARTINS 03590726660,ESTABELECIMENTO SEM NOME,POINT (605960.82 7797768.07),"(-19.9135199, -43.9854158)","(-19.9135343, -43.9876333)"
