CDB_ID,NOME,ENDERECO,IMAGEM,PETISCO,DESCRICAO
001,ARCOS BAR,"RUA DA BAHIA, 1144, CENTRO, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/TBJlO2gBA-eoaA_0XK6kMNTIsZo=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/M/J/KAr3B1SVAirdeLIPqERw/arcos-pratodadiversidade-bh-2025-rodneycosta-unibh-7624-1-.jpg,Panela da Diversidade,Acem cozido com ervas finas acompanhado com batata rústica
002,AZOUGUE FOGO E BAR,"RUA DO OURO, 835, SERRA, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/4nvx0TTUnKRrUtN5CL_bOiTj0Fk=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/u/s/9FRxz7Q0qRJcqZnW0Jxg/azougue-linguadevovovirinha-bh-2025-isaquerodrigues-unibh-7366.jpg,Lingua da vovó Virinha,Língua de boi assada sobre creme de batata e milho com vinagrete mineiro e redução do caldo da própria língua com cerveja.
003,BAIÚCA,"RUA PIAUI, 1884, SAVASSI, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/jzIpvnVuWznTE1n1R0us6cuiIhU=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/N/f/TKfXFPQHSX2YrDqyqRqQ/baiuca-caneladasuina-bh-2025-rodneycosta-unibh-7505.jpg,Canelada Suína,"Panturrilha suína, mandioca cozida com queijo e manteiga, cebola assada e crispe de couve."
004,BAR ESTABELECIMENTO,"RUA MONTE ALEGRE, 160, SERRA, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/XMgVOHr-0_Y9lUNhH3Fr4JhfNng=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/a/u/GFmmMsT2uYACp292e4oQ/barestabelecimento-tipracas-bh-2025-rodneycosta-unibh-8153.jpg,Tipracas,"Pelotas de rabada com angu de agrião e ""tipracas"" de arroz com feijão ( tipo bolachas )."
005,BAR MANIA MINEIRA,"RUA PARACATU, 1099, SANTO AGOSTINHO, BELO HORIZONTE, MG, BRASIL",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050748/maniamineira_explosaodesabores_bh_2025_fernandaoliveira_unibh-8088-2048x1365.jpg,EXPLOSÃO DE SABOR,Bolinho de mandioca recheado com queijo
006,BECO RESTAURANTE,"RUA DOS TAMOIOS, 232, CENTRO, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/YR-yuF2XwHEoH7FnW9euAthuyhs=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/X/r/xMmYnyRDGtD7l0NJev1A/becorestaurante-ladicasa-bh-2025-fernandaoliveira-unibh-8137.jpg,Lá di Casa,"Carne bovina cozida na panela de pressão e reduzida no molho à base demi glace. Acompanha nosso creme de mandioca caseira, farofa crocante de panko e crispy de couve."
007,BOTEQUIM DE LOURDES,"RUA CURITIBA, 2039, LOURDES, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/NstkedZjELZYc7HupHQceFxftz4=/0x0:3500x2333/1000x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/w/b/02wB31RD2c6DRlteJ8dg/butequimlourdes-rocamboledetorresmoquesoobutequimtem-bh-2025-rodneycosta-unibh-9228.jpg,ROCAMBOLE DE TORRESMO QUE SÓ NO BOTEQUIM TEM,"TORRESMO DE BARRIGA MARINADO NA CACHAÇA, SERVIDO COM PALITINHOS DE TAPIOCA E GELEIA DE ABACAXI COM PIMENTA E CANELA."
008,CAFÉ BAHIA,"RUA DOS TUPIS, 369, CENTRO, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/XVcQ1oFtmwTKXIXhs9NqWKTj1F0=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/G/T/GlwlU5SgSeEBC1SS0gSQ/cafebahia-trupiqueinobahia-bh-2025-amandacantanhede-unibh-9006.jpg,TRUPIQUEI NO BAHIA,"Defumados de porco e carne de sol no feijão vermelho,pelinha crocrante, polentinha mineira e mostarda refogada."
009,CAFÉ PALHARES,"RUA DOS TUPINAMBAS, 638, CENTRO, BELO HORIZONTE, MG, BRASIL",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15050219/cafepalhares_polpetadeberingelacomdoisqueijos_bh_2025_fernandaoliveira_unibh-8289-scaled.jpg,POLPETA DE BERINJELA COM DOIS QUEIJOS,"Polpetas de berinjela com queijo parmesão, mozarela, manjericão e salsinha. Servidas com pasta de grão-de-bico."
010,CASA DA MADRINHA,"AVENIDA BARBACENA, 212, BARRO PRETO, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/yF9qPVIeHsIR0yJ8UgEGP9i4IbQ=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/4/q/fpljkBRuGLUREDsX9Rrw/casadamadrinha-bemmineiro-bh-2025-amandacantanhede-unibh-8867.jpg,Bem Mineiro,Polenta crocante com ragu de frango com quiabo e o toque inconfundível do queijo minas.
011,DONA DORA,"RUA RIO DE JANEIRO, 1205, CENTRO, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/_ajR7lZ1GL7w7D0U-4FIuoIFESo=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/j/Y/FiOXk7QUSDlzaooYgYlA/donadora-boleco-bolodecuteco-bh-2025-rodneycosta-unibh-8708.jpg,Boleco (Bolo di Buteco),"Purê rústico de mandioca com ragú de alcatra, fonduta de queijo canastra e crispy de couve."
012,EMBER BBQ,"RUA SAO ROMAO, 460, SANTO ANTONIO, BELO HORIZONTE, MG, BRASIL",https://s2-g1.glbimg.com/gYST4CTUQziE20eZIrvkBan5FKw=/0x0:3500x2333/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/B/Q/CezNEsSJCTq6gvIjqFzg/embeer-cupimsertanejo-bh-2025-isaquerodrigues-unibh-7851.jpg,Cupim Sertanejo,Cupim defumado em lenha de macieira. Servido sobre angú de milho verde com queijo minas acompanhado de couve crispy e pimenta jalapeno.
