ID_ATIV_ECON_ESTABELECIMENTO,CNAE_PRINCIPAL,DATA_INICIO_ATIVIDADE,IND_POSSUI_ALVARA,ENDERECO_COMPLETO,NOME,NOME_FANTASIA,GEOMETRIA,CDB,COORDS
1023,5611201.0,01-07-1993,NÃO,"RUA DESEMBARGADOR REIS ALVES, 90, BAIRRO DAS INDUSTRIAS I, BELO HORIZONTE, MG, BRASIL",APARECIDA MARIA DE SOUZA,ESTABELECIMENTO SEM NOME,POINT (604468.46 7792708.63),0,"-19.9589334, -44.0017603"
1025,5611201.0,15-10-1993,NÃO,"RUA LUIZ PONGELUPE, 290, CARDOSO, BELO HORIZONTE, MG, BRASIL",LUCAS SILVA DE ARAUJO LTDA,PIZZARIA E CHURRASCARIA VARANDA,POINT (603585.25 7787403.83),0,"-20.0062900, -44.0100157"
1056,5611201.0,02-05-1994,NÃO,"AVENIDA RESSACA, 118, PADRE EUSTAQUIO, BELO HORIZONTE, MG, BRASIL",PAULO EMILIO COELHO,RABBIT BURGER,POINT (606050.57 7796975.21),0,"-19.9177866, -43.9876481"
1071,5611201.0,24-11-1993,SIM,"RUA DESEMBARGADOR RIBEIRO DA LUZ, 135, BARREIRO, BELO HORIZONTE, MG, BRASIL",GARAPAO BAR E RESTAURANTE LTDA,TATU REI DO ANGU A  BAHIANA,POINT (603011.98 7791138.07),0,"-19.9732823, -44.0141195"
705,5611201.0,01-10-1993,SIM,"AVENIDA CRISTIANO MACHADO, 1950, CIDADE NOVA, BELO HORIZONTE, MG, BRASIL",FRIOS ALMEIDA LTDA,ESPACO DA FEIJOADA,POINT (612160.77 7800283.54),0,"-19.8903695, -43.9282191"
60382,5611201.0,15-12-2020,NÃO,"RUA LUZIA SALOMAO, 50, MANTIQUEIRA, BELO HORIZONTE, MG, BRASIL",AECIO CARLOS MIGUEL LEMOS 99648725691,ESTABELECIMENTO SEM NOME,POINT (606905.28 7809966.88),0,"-19.8027128, -43.9798377"
60651,5611201.0,16-09-2011,SIM,"RUA BRAULIO GOMES NOGUEIRA, 1200, ITAIPU, BELO HORIZONTE, MG, BRASIL",CHURRASCARIA BAHIAS BAR LTDA,ESTABELECIMENTO SEM NOME,POINT (599698.20 7789293.05),0,"-19.9945782, -44.0464278"
60660,5611201.0,16-09-2011,SIM,"RUA DOS OTONI, 222, SANTA EFIGENIA, BELO HORIZONTE, MG, BRASIL",D'MARCUS & CESAR RESTAURANTE LTDA,RESTAURANTE NOVO SABOR,POINT (612760.02 7796250.25),0,"-19.9264845, -43.9245162"
60985,5611204.0,28-09-2011,SIM,"RUA DOS TUPINAMBAS, 1100, CENTRO, BELO HORIZONTE, MG, BRASIL",BAR DO MELO LTDA,ESTABELECIMENTO SEM NOME,POINT (610466.17 7797438.33),0,"-19.9164141, -43.9443398"
60996,5611201.0,27-09-2011,SIM,"AVENIDA SOLFERINA RICCI PACE, 1301, CONJUNTO JATOBA, BELO HORIZONTE, MG, BRASIL","DU DAY RESTAURANTE, LANCHONETE E DISTRIBUIDORA DE BEBIDAS LTDA",ESTABELECIMENTO SEM NOME,POINT (600010.72 7787842.93),0,
60082,5611204.0,26-08-2011,NÃO,"RUA FURQUIM WERNECK, 619, TUPI A, BELO HORIZONTE, MG, BRASIL",RESTAURANTE E PIZZARIA VALORES DE MINAS LTDA,RESTAURANTE E PIZZARIA VALORES DE MINAS,POINT (613032.50 7805895.14),0,
61013,5611201.0,30-09-2011,NÃO,"RUA SALINAS, 1547, SANTA TEREZA, BELO HORIZONTE, MG, BRASIL",SHIRLEY FRAGUAS MESQUITA 85413178620,ESTABELECIMENTO SEM NOME,POINT (612987.77 7797558.50),0,"-19.9148029, -43.9230373"
60718,5611204.0,21-09-2011,SIM,"RUA OLINTO MAGALHAES, 710, PADRE EUSTAQUIO, BELO HORIZONTE, MG, BRASIL",JOEL MARTINS 03590726660,ESTABELECIMENTO SEM NOME,POINT (605960.82 7797768.07),0,"-19.9135199, -43.9854158"
60479,5611201.0,12-09-2011,NÃO,"ALA DAS FLORES, 8, VILA SUMARE, BELO HORIZONTE, MG, BRASIL",DIVINA DA CONSOLACAO SILVA 70054436672,ESTABELECIMENTO SEM NOME,POINT (608261.58 7800553.47),0,
60142,5611204.0,30-08-2011,NÃO,"RUA JOSE FELIX MARTINS, 560, MANTIQUEIRA, BELO HORIZONTE, MG, BRASIL",FERNANDO CARLOS ROSA 39953084653,ESTABELECIMENTO SEM NOME,POINT (606450.16 7810175.43),0,"-19.7995836, -43.9839528"
60751,5611201.0,21-09-2011,NÃO,"RUA MANGARATIBA, 390, SAO GERALDO, BELO HORIZONTE, MG, BRASIL",PIZZAIOLO BOA VISTA LTDA,PIZZAIOLO SAO GERALDO II,POINT (614911.76 7799305.54),0,"-19.9016216, -43.9014570"
60175,5611201.0,30-08-2011,SIM,"AVENIDA OIAPOQUE, 156, CENTRO, BELO HORIZONTE, MG, BRASIL",RESTAURANTE BAO TAMEM LTDA,ESTABELECIMENTO SEM NOME,POINT (611008.61 7797737.66),0,"-19.9131077, -43.9393344"
60794,5611201.0,21-09-2011,NÃO,"RUA SERGIPE, 1360, SAVASSI, BELO HORIZONTE, MG, BRASIL",BH CHURRASCARIA LTDA,XICO DO CHURRASCO SAVASSI,POINT (611087.01 7794985.47),0,"-19.9382457, -43.9384554"
61213,5611204.0,06-10-2011,NÃO,"RUA DONA MARIA SENHORA, 853, DIAMANTE, BELO HORIZONTE, MG, BRASIL",SELMO PEREIRA COIMBRA 95585494600,ESTABELECIMENTO SEM NOME,POINT (602363.35 7788403.16),0,"-19.9983722, -44.0223800"
61045,5611204.0,30-09-2011,SIM,"RUA CARLOS TORREZANI, 285, LETICIA, BELO HORIZONTE, MG, BRASIL",14.396.470 TIAGO BARBOSA RIBEIRO,CANTINA DO CHURRASCO,POINT (606658.34 7809126.13),0,"-19.8094611, -43.9804162"
60576,5611201.0,14-09-2011,SIM,"AVENIDA RAJA GABAGLIA, 2664, ESTORIL, BELO HORIZONTE, MG, BRASIL",MELO SILVA ENGENHARIA E ALIMENTOS LTDA,TOSCANINI CAFE,POINT (609074.21 7792680.91),0,"-19.9581626, -43.9570934"
60838,5611201.0,25-09-2011,NÃO,"RUA DOUTOR JOAO MIRANDA, 188, DONA CLARA, BELO HORIZONTE, MG, BRASIL",EMANUELLA LARISSA VALADARES LIPARIZI 07264033694,ESTABELECIMENTO SEM NOME,POINT (611407.93 7803504.66),0,"-19.8612876, -43.9362088"
60855,5611204.0,26-09-2011,NÃO,"RUA CATALUNHA, 443, SANTA TEREZINHA, BELO HORIZONTE, MG, BRASIL",MAURILO JOSE DUTRA FILHO 00490044689,ESTABELECIMENTO SEM NOME,POINT (603887.66 7802487.93),0,"-19.8725355, -44.0098436"
61076,5611201.0,03-10-2011,NÃO,"AVENIDA OIAPOQUE, 221, CENTRO, BELO HORIZONTE, MG, BRASIL",VANESSA FERREIRA DE PAULA 06002963693,ESTABELECIMENTO SEM NOME,POINT (610983.89 7797706.92),0,"-19.9134062, -43.9402868"
60310,5611201.0,02-09-2011,NÃO,"RUA JOSE CLETO, 901, SANTA CRUZ, BELO HORIZONTE, MG, BRASIL",CANTINA DA TIA ZITA LTDA,TITIA ZITA,POINT (611066.18 7802146.83),0,"-19.8765417, -43.9315160"
61150,5611204.0,05-10-2011,NÃO,"RUA ALABASTRO, 345, SAGRADA FAMILIA, BELO HORIZONTE, MG, BRASIL",ADENILSON JOSE APARECIDO VIEIRA 04589142660,ESTABELECIMENTO SEM NOME,POINT (612977.79 7798190.31),0,"-19.9113359, -43.9208918"
59410,5611201.0,08-02-1971,SIM,"RUA DA BAHIA, 615, CENTRO, BELO HORIZONTE, MG, BRASIL",BAR E RESTAURANTE FORTUNA DE MINAS LTDA,ESTABELECIMENTO SEM NOME,POINT (611348.67 7796976.04),0,"-19.9214255, -43.9365262"
59051,5611204.0,01-11-1978,SIM,"RUA DOS GUARANIS, 600, CENTRO, BELO HORIZONTE, MG, BRASIL",EGIDIO MARTINS MONTEIRO,BAR DO GIL,POINT (610568.45 7797004.98),0,"-19.9162320, -43.9423878"
59427,5611201.0,01-02-1957,NÃO,"RUA DA BAHIA, 1403, LOURDES, BELO HORIZONTE, MG, BRASIL",BAR E RESTAURANTE CHANTECLER LTDA,ESTABELECIMENTO SEM NOME,POINT (611145.54 7796209.90),0,"-19.9387179, -43.9412853"
59755,5611204.0,26-06-1980,SIM,"RUA AUGUSTO DOS ANJOS, 743, RIO BRANCO, BELO HORIZONTE, MG, BRASIL",BAR RECANTO DA AMIZADE LTDA,BAR RECANTO DA AMIZADE,POINT (606700.81 7808195.47),0,"-19.8182833, -43.9854839"
59067,5611201.0,01-11-1978,SIM,"AVENIDA AUGUSTO DE LIMA, 744, CENTRO, BELO HORIZONTE, MG, BRASIL",BAR E RESTAURANTE CASA CHEIA LTDA,RESTAURANTE JORGE AMERICANO,POINT (610591.38 7796689.57),18,"-19.9225815, -43.9430243"
59074,5611201.0,30-12-2024,NÃO,"RUA WILSON ROCHA LIMA, 80, SANTA LUCIA, BELO HORIZONTE, MG, BRASIL",REDE PAULO DE TARSO,SUNTOR RESTAURANTE & CAFETERIA,POINT (609285.47 7791457.82),0,"-19.9704174, -43.9556202"
59449,5611201.0,15-09-1979,SIM,"AVENIDA GUARAPARI, 1166, SANTA AMELIA, BELO HORIZONTE, MG, BRASIL",CHURRASCARIA SANTA AMELIA LTDA,CHURRASCARIA SANTA AMELIA,POINT (607328.52 7806326.66),0,"-19.8400936, -43.9776251"
59451,5611201.0,01-04-1981,SIM,"AVENIDA CRISTIANO MACHADO, 5480, SAO PAULO, BELO HORIZONTE, MG, BRASIL",BAR E RESTAURANTE PENA VERDE LTDA,ESTABELECIMENTO SEM NOME,POINT (612268.07 7802856.26),0,"-19.8691197, -43.9281169"
59777,5611201.0,08-03-1982,NÃO,"RUA DOS AIMORES, 1065, BOA VIAGEM, BELO HORIZONTE, MG, BRASIL",LANCHES TROPPO BUONO LTDA,ESTABELECIMENTO SEM NOME,POINT (611529.47 7795976.25),0,"-19.9288081, -43.9364357"
59095,5611201.0,02-01-1978,SIM,"RUA ESMERALDA, 604, PRADO, BELO HORIZONTE, MG, BRASIL",GUT BAR LTDA,ESTABELECIMENTO SEM NOME,POINT (608590.80 7796100.48),0,"-19.9267616, -43.9618748"
59463,5611201.0,02-05-1977,SIM,"RUA LAGOA DA PRATA, 480, SALGADO FILHO, BELO HORIZONTE, MG, BRASIL",MESSIAS BAR LTDA,ESTABELECIMENTO SEM NOME,POINT (606433.32 7794845.80),0,"-19.9441832, -43.9838821"
