ID_ATIV_ECON_ESTABELECIMENTO,CNAE_PRINCIPAL,DATA_INICIO_ATIVIDADE,IND_POSSUI_ALVARA,ENDERECO_COMPLETO,NOME,NOME_FANTASIA
1023,5611201.0,01-07-1993,NÃO,"Rua DESEMBARGADOR REIS ALVES, 90, BAIRRO DAS INDUSTRIAS I, Belo Horizonte, MG, Brasil",APARECIDA MARIA DE SOUZA,Estabelecimento sem nome
1025,5611201.0,15-10-1993,NÃO,"Rua LUIZ PONGELUPE, 290, CARDOSO, Belo Horizonte, MG, Brasil",LUCAS SILVA DE ARAUJO LTDA,PIZZARIA E CHURRASCARIA VARANDA
1056,5611201.0,02-05-1994,NÃO,"Avenida RESSACA, 118, PADRE EUSTAQUIO, Belo Horizonte, MG, Brasil",PAULO EMILIO COELHO,RABBIT BURGER
1071,5611201.0,24-11-1993,SIM,"Rua DESEMBARGADOR RIBEIRO DA LUZ, 135, BARREIRO, Belo Horizonte, MG, Brasil",GARAPAO BAR E RESTAURANTE LTDA,TATU REI DO ANGU A  BAHIANA
705,5611201.0,01-10-1993,SIM,"Avenida CRISTIANO MACHADO, 1950, CIDADE NOVA, Belo Horizonte, MG, Brasil",FRIOS ALMEIDA LTDA,ESPACO DA FEIJOADA
60382,5611201.0,15-12-2020,NÃO,"Rua LUZIA SALOMAO, 50, MANTIQUEIRA, Belo Horizonte, MG, Brasil",AECIO CARLOS MIGUEL LEMOS 99648725691,Estabelecimento sem nome
60651,5611201.0,16-09-2011,SIM,"Rua BRAULIO GOMES NOGUEIRA, 1200, ITAIPU, Belo Horizonte, MG, Brasil",CHURRASCARIA BAHIAS BAR LTDA,Estabelecimento sem nome
60660,5611201.0,16-09-2011,SIM,"Rua DOS OTONI, 222, SANTA EFIGENIA, Belo Horizonte, MG, Brasil",D'MARCUS & CESAR RESTAURANTE LTDA,RESTAURANTE NOVO SABOR
60996,5611201.0,27-09-2011,SIM,"Avenida SOLFERINA RICCI PACE, 1301, CONJUNTO JATOBA, Belo Horizonte, MG, Brasil","DU DAY RESTAURANTE, LANCHONETE E DISTRIBUIDORA DE BEBIDAS LTDA",Estabelecimento sem nome
61013,5611201.0,30-09-2011,NÃO,"Rua SALINAS, 1547, SANTA TEREZA, Belo Horizonte, MG, Brasil",SHIRLEY FRAGUAS MESQUITA 85413178620,Estabelecimento sem nome
60479,5611201.0,12-09-2011,NÃO,"Ala DAS FLORES, 8, VILA SUMARE, Belo Horizonte, MG, Brasil",DIVINA DA CONSOLACAO SILVA 70054436672,Estabelecimento sem nome
60751,5611201.0,21-09-2011,NÃO,"Rua MANGARATIBA, 390, SAO GERALDO, Belo Horizonte, MG, Brasil",PIZZAIOLO BOA VISTA LTDA,PIZZAIOLO SAO GERALDO II
60175,5611201.0,30-08-2011,SIM,"Avenida OIAPOQUE, 156, CENTRO, Belo Horizonte, MG, Brasil",RESTAURANTE BAO TAMEM LTDA,Estabelecimento sem nome
60794,5611201.0,21-09-2011,NÃO,"Rua SERGIPE, 1360, SAVASSI, Belo Horizonte, MG, Brasil",BH CHURRASCARIA LTDA,XICO DO CHURRASCO SAVASSI
60576,5611201.0,14-09-2011,SIM,"Avenida RAJA GABAGLIA, 2664, ESTORIL, Belo Horizonte, MG, Brasil",MELO SILVA ENGENHARIA E ALIMENTOS LTDA,TOSCANINI CAFE
60838,5611201.0,25-09-2011,NÃO,"Rua DOUTOR JOAO MIRANDA, 188, DONA CLARA, Belo Horizonte, MG, Brasil",EMANUELLA LARISSA VALADARES LIPARIZI 07264033694,Estabelecimento sem nome
61076,5611201.0,03-10-2011,NÃO,"Avenida OIAPOQUE, 221, CENTRO, Belo Horizonte, MG, Brasil",VANESSA FERREIRA DE PAULA 06002963693,Estabelecimento sem nome
60310,5611201.0,02-09-2011,NÃO,"Rua JOSE CLETO, 901, SANTA CRUZ, Belo Horizonte, MG, Brasil",CANTINA DA TIA ZITA LTDA,TITIA ZITA
59410,5611201.0,08-02-1971,SIM,"Rua DA BAHIA, 615, CENTRO, Belo Horizonte, MG, Brasil",BAR E RESTAURANTE FORTUNA DE MINAS LTDA,Estabelecimento sem nome
59427,5611201.0,01-02-1957,NÃO,"Rua DA BAHIA, 1403, LOURDES, Belo Horizonte, MG, Brasil",BAR E RESTAURANTE CHANTECLER LTDA,Estabelecimento sem nome
59067,5611201.0,01-11-1978,SIM,"Avenida AUGUSTO DE LIMA, 744, CENTRO, Belo Horizonte, MG, Brasil",BAR E RESTAURANTE CASA CHEIA LTDA,CASA CHEIA
59074,5611201.0,30-12-2024,NÃO,"Rua WILSON ROCHA LIMA, 80, SANTA LUCIA, Belo Horizonte, MG, Brasil",REDE PAULO DE TARSO,SUNTOR RESTAURANTE & CAFETERIA
