Nome,Endereço
MAMUTE BAR,"RUA BRAS CUBAS, 116, CRUZEIRO, BELO HORIZONTE, MG, BRASIL"
CHOPERIA AMÉRICA NORTE SUL,"RUA CHICO REI, 190, ESTRELA DO ORIENTE, BELO HORIZONTE, MG, BRASIL"
CONECTADOS BAR,"AVENIDA FRANCISCO SA, 280, PRADO, BELO HORIZONTE, MG, BRASIL"
S.O.S PUB,"AVENIDA PADRE JOSE MAURICIO, 1126, VISTA ALEGRE, BELO HORIZONTE, MG, BRASIL"
CANTINHO DA BAIANA,"AVENIDA ITAITE, 422, SÃO GERALDO, BELO HORIZONTE, MG, BRASIL"
KÖBES EMPORIUM BAR,"RUA PROFESSOR RAIMUNDO NONATO, 31, SANTA TEREZA, BELO HORIZONTE, MG, BRASIL"
BUTECO'S BAR,"RUA ERNESTO BRAGA, 2, JARDIM ATLANTICO, BELO HORIZONTE, MG, BRASIL"
DECK BOI NA BRASA,"RUA DESEMBARGADOR JOSÉ SATYRO, 302, MANACAS, BELO HORIZONTE, MG, BRASIL"
BAR DO ROMEU,"RUA ANIRY, 8, GUARANI, BELO HORIZONTE, MG, BRASIL"
COMPANHIA DO DINO,"RUA JOAQUIM CLEMENTE, 682, FLORAMAR, BELO HORIZONTE, MG, BRASIL"
ANDRADE'S BEER,"RUA DONA GENI, 32, VENDA NOVA, BELO HORIZONTE, MG, BRASIL"
BAR DA LU,"RUA GERALDA MARINHO, 41, SÃO JOÃO BATISTA, BELO HORIZONTE, MG, BRASIL"
TROPEIRO DO LISBOA,"AVENIDA LEONTINO FRANCISCO ALVES, 506, SERRA VERDE, BELO HORIZONTE, MG, BRASIL"
ESPETINHOS DO PAULÃO,"RUA ALVARO MATA, 466, NOVA CACHOEIRINHA, BELO HORIZONTE, MG, BRASIL"
MULÃO,"RUA MARAMBAIA, 291, CAICARAS, BELO HORIZONTE, MG, BRASIL"
SANTUÁRIO RETRÔ,"RUA CAPELA NOVA, 150, MINAS BRASIL, BELO HORIZONTE, MG, BRASIL"
THE BUTCHER,"AVENIDA RESSACA, 353, CORACAO EUCARISTICO, BELO HORIZONTE, MG, BRASIL"
